State,County,Metro/Small Town/Rural Status,Percent with SNAP,Percent Margin of Error (±),Population Percentage - Black,Population Percentage - Hispanic/Latino
North Dakota,Williams County,Small town,4.50%,1.70%,,
Texas,Comal County,Metro area,4.50%,0.80%,,
Kansas,Pratt County,Rural area,4.50%,2.00%,,
Massachusetts,Nantucket County,Rural area,4.50%,2.20%,,
Texas,Kendall County,Metro area,4.50%,1.40%,,
Ohio,Geauga County,Metro area,4.50%,0.80%,,
Indiana,Hancock County,Metro area,4.50%,0.90%,,
Minnesota,Wright County,Metro area,4.50%,0.60%,,
Georgia,Cherokee County,Metro area,4.50%,0.60%,,
Texas,Gillespie County,Small town,4.50%,1.50%,,
Texas,Carson County,Metro area,4.50%,1.60%,,
California,Santa Clara County,Metro area,4.40%,0.20%,,
South Dakota,Douglas County,Rural area,4.40%,1.90%,,
Virginia,Frederick County,Metro area,4.40%,0.90%,,
Minnesota,Jackson County,Rural area,4.40%,1.30%,,
Minnesota,Washington County,Metro area,4.40%,0.40%,,
Kansas,Wabaunsee County,Metro area,4.30%,1.40%,,
Minnesota,Scott County,Metro area,4.30%,0.70%,,
South Dakota,Grant County,Rural area,4.30%,1.80%,,
Colorado,Jefferson County,Metro area,4.30%,0.30%,,
Kentucky,Oldham County,Metro area,4.30%,0.90%,,
Nebraska,Seward County,Metro area,4.30%,1.10%,,
Ohio,Holmes County,Rural area,4.30%,1.10%,,
Georgia,Columbia County,Metro area,4.30%,0.80%,,
Virginia,Hanover County,Metro area,4.30%,0.60%,,
New York,Nassau County,Metro area,4.30%,0.20%,,
Ohio,Warren County,Metro area,4.30%,0.50%,,
Alaska,Valdez-Cordova Census Area,Rural area,4.20%,1.50%,,
California,Placer County,Metro area,4.20%,0.40%,,
Colorado,Hinsdale County,Rural area,4.20%,3.90%,,
Virginia,Alexandria city,Metro area,4.20%,0.50%,,
North Dakota,Foster County,Rural area,4.20%,1.80%,,
Texas,Oldham County,Metro area,4.20%,2.80%,,
Michigan,Leelanau County,Small town,4.20%,0.90%,,
Georgia,Fayette County,Metro area,4.20%,0.80%,,
Minnesota,Sherburne County,Metro area,4.10%,0.90%,,
California,Napa County,Metro area,4.10%,0.60%,,
Colorado,Elbert County,Metro area,4.10%,1.10%,,
Kansas,Lane County,Rural area,4.10%,2.60%,,
Kansas,Wallace County,Rural area,4.10%,2.70%,,
North Dakota,McLean County,Rural area,4.10%,1.00%,,
Missouri,Platte County,Metro area,4.10%,0.60%,,
Wyoming,Campbell County,Small town,4.10%,1.10%,,
Georgia,Forsyth County,Metro area,4.10%,0.40%,,
Kansas,Greeley County,Rural area,4.00%,3.10%,,
Indiana,Hendricks County,Metro area,4.00%,0.70%,,
Montana,Treasure County,Rural area,4.00%,3.60%,,
South Dakota,Hand County,Rural area,4.00%,1.60%,,
Missouri,St. Charles County,Metro area,4.00%,0.40%,,
South Dakota,Aurora County,Rural area,4.00%,1.90%,,
Colorado,La Plata County,Small town,4.00%,0.90%,,
Wisconsin,Ozaukee County,Metro area,4.00%,0.70%,,
Montana,Stillwater County,Rural area,4.00%,1.30%,,
Kansas,Stanton County,Rural area,4.00%,3.90%,,
Utah,Rich County,Rural area,3.90%,2.50%,,
Virginia,Fairfax County,Metro area,3.90%,0.20%,,
Minnesota,Carver County,Metro area,3.90%,0.70%,,
Virginia,Fauquier County,Metro area,3.90%,0.70%,,
Virginia,Goochland County,Metro area,3.90%,1.40%,,
Montana,Garfield County,Rural area,3.90%,3.20%,,
Kansas,Sheridan County,Rural area,3.90%,2.50%,,
Kansas,Scott County,Rural area,3.90%,3.60%,,
North Dakota,Wells County,Rural area,3.90%,2.10%,,
Nebraska,Boone County,Rural area,3.90%,1.50%,,
Texas,Sherman County,Rural area,3.80%,2.70%,,
Nebraska,Gosper County,Small town,3.80%,1.90%,,
Montana,Gallatin County,Small town,3.80%,0.80%,,
Wyoming,Albany County,Small town,3.80%,0.90%,,
Virginia,Botetourt County,Metro area,3.80%,1.20%,,
Wyoming,Platte County,Rural area,3.80%,1.80%,,
Kansas,Clay County,Rural area,3.80%,1.60%,,
North Dakota,Adams County,Rural area,3.80%,2.30%,,
Virginia,Powhatan County,Metro area,3.80%,1.30%,,
Nebraska,Blaine County,Rural area,3.80%,4.20%,,
Kansas,Meade County,Rural area,3.70%,1.90%,,
Nebraska,Hayes County,Rural area,3.70%,3.00%,,
New York,Putnam County,Metro area,3.70%,0.70%,,
North Dakota,LaMoure County,Rural area,3.70%,1.30%,,
Kansas,Marion County,Rural area,3.70%,0.80%,,
New Hampshire,Rockingham County,Metro area,3.70%,0.40%,,
South Dakota,Stanley County,Small town,3.60%,2.80%,,
Kansas,Washington County,Rural area,3.60%,1.30%,,
Nebraska,Chase County,Rural area,3.60%,2.10%,,
Ohio,Delaware County,Metro area,3.60%,0.40%,,
South Dakota,Lincoln County,Metro area,3.60%,0.90%,,
Colorado,Park County,Metro area,3.60%,1.40%,,
Montana,Liberty County,Rural area,3.60%,2.30%,,
Virginia,James City County,Metro area,3.60%,0.90%,,
Georgia,Oconee County,Metro area,3.60%,1.30%,,
Wyoming,Sheridan County,Small town,3.50%,1.10%,,
Montana,Carter County,Rural area,3.50%,3.30%,,
Kansas,Hamilton County,Rural area,3.50%,2.10%,,
Montana,Prairie County,Rural area,3.50%,3.10%,,
Indiana,Carroll County,Metro area,3.50%,0.90%,,
Nebraska,Grant County,Rural area,3.50%,1.70%,,
Alaska,Skagway Municipality,Rural area,3.50%,1.80%,,
Virginia,Albemarle County,Metro area,3.50%,0.60%,,
Texas,Reagan County,Rural area,3.40%,2.90%,,
Utah,Garfield County,Rural area,3.40%,1.70%,,
South Dakota,Haakon County,Rural area,3.40%,1.90%,,
Nebraska,Rock County,Rural area,3.40%,1.90%,,
New Jersey,Hunterdon County,Metro area,3.30%,0.60%,,
New Mexico,Harding County,Rural area,3.30%,3.30%,,
California,San Mateo County,Metro area,3.30%,0.30%,,
Colorado,Gilpin County,Metro area,3.30%,2.40%,,
Colorado,Pitkin County,Small town,3.20%,1.60%,,
Montana,Richland County,Rural area,3.20%,1.20%,,
Kansas,Haskell County,Rural area,3.20%,1.70%,,
New Jersey,Morris County,Metro area,3.20%,0.30%,,
New Jersey,Sussex County,Metro area,3.10%,0.50%,,
Nebraska,McPherson County,Small town,3.10%,3.10%,,
North Dakota,Dunn County,Rural area,3.10%,1.80%,,
Virginia,York County,Metro area,3.10%,0.70%,,
Kansas,Hodgeman County,Rural area,3.10%,1.70%,,
Nebraska,Wayne County,Rural area,3.10%,1.80%,,
Kansas,Gove County,Rural area,3.10%,1.80%,,
North Dakota,McKenzie County,Rural area,3.10%,1.80%,,
Colorado,Summit County,Small town,3.10%,1.60%,,
North Dakota,Golden Valley County,Rural area,3.10%,1.80%,,
Nebraska,Holt County,Rural area,3.10%,0.90%,,
Utah,Daggett County,Rural area,3.10%,4.20%,,
Texas,Rockwall County,Metro area,3.10%,0.70%,,
Virginia,Arlington County,Metro area,3.00%,0.40%,,
Nebraska,Greeley County,Rural area,3.00%,1.90%,,
Colorado,Routt County,Small town,3.00%,1.00%,,
Texas,Collin County,Metro area,3.00%,0.20%,,
South Dakota,Sully County,Small town,3.00%,1.70%,,
Kansas,Trego County,Rural area,3.00%,2.20%,,
Kansas,Johnson County,Metro area,3.00%,0.30%,,
Wyoming,Washakie County,Rural area,2.90%,1.30%,,
South Dakota,Hamlin County,Rural area,2.90%,1.10%,,
Montana,Powder River County,Rural area,2.80%,2.40%,,
Colorado,San Miguel County,Rural area,2.80%,1.00%,,
Montana,Wibaux County,Rural area,2.80%,2.40%,,
Montana,Fallon County,Rural area,2.80%,2.30%,,
North Dakota,Mountrail County,Rural area,2.80%,1.00%,,
North Dakota,Burke County,Rural area,2.80%,1.50%,,
South Dakota,Perkins County,Rural area,2.70%,1.40%,,
Utah,Wasatch County,Small town,2.70%,1.10%,,
North Dakota,Logan County,Rural area,2.70%,1.00%,,
Wyoming,Lincoln County,Rural area,2.70%,1.20%,,
Virginia,Loudoun County,Metro area,2.70%,0.30%,,
Texas,Roberts County,Rural area,2.70%,2.30%,,
Kansas,Cheyenne County,Rural area,2.60%,1.60%,,
New Jersey,Somerset County,Metro area,2.60%,0.30%,,
Montana,Madison County,Rural area,2.60%,1.10%,,
Kansas,Wichita County,Rural area,2.60%,2.10%,,
Colorado,Eagle County,Small town,2.50%,0.90%,,
South Dakota,Campbell County,Rural area,2.50%,2.20%,,
California,Marin County,Metro area,2.50%,0.30%,,
Kansas,Morton County,Rural area,2.50%,1.50%,,
North Dakota,Slope County,Rural area,2.50%,2.10%,,
South Dakota,Potter County,Rural area,2.40%,1.40%,,
Indiana,Hamilton County,Metro area,2.40%,0.30%,,
North Dakota,Oliver County,Metro area,2.40%,1.80%,,
Tennessee,Williamson County,Metro area,2.40%,0.40%,,
Virginia,Highland County,Rural area,2.40%,2.20%,,
Colorado,Broomfield County,Metro area,2.30%,0.40%,,
Kansas,Ness County,Rural area,2.30%,1.30%,,
Virginia,Fairfax city,Metro area,2.20%,1.10%,,
Texas,Armstrong County,Metro area,2.20%,1.70%,,
Wyoming,Teton County,Small town,2.20%,1.60%,,
Virginia,Fluvanna County,Metro area,2.10%,1.00%,,
North Dakota,Cavalier County,Rural area,2.10%,1.40%,,
Nebraska,Perkins County,Rural area,2.00%,1.10%,,
Nebraska,Brown County,Rural area,2.00%,1.30%,,
Montana,Daniels County,Rural area,2.00%,1.60%,,
New Mexico,Los Alamos County,Small town,2.00%,1.00%,,
Nebraska,Keya Paha County,Rural area,2.00%,1.60%,,
Texas,Terrell County,Rural area,1.90%,3.10%,,
South Dakota,Faulk County,Rural area,1.90%,1.70%,,
Wyoming,Crook County,Rural area,1.90%,1.60%,,
Colorado,Douglas County,Metro area,1.80%,0.30%,,
Kansas,Gray County,Rural area,1.80%,1.10%,,
Virginia,Poquoson city,Metro area,1.80%,1.30%,,
South Dakota,Hanson County,Small town,1.70%,1.00%,,
Utah,Morgan County,Metro area,1.60%,1.20%,,
Nebraska,Thomas County,Rural area,1.40%,2.20%,,
Utah,Summit County,Small town,1.40%,0.60%,,
Kansas,Comanche County,Rural area,1.30%,1.10%,,
South Dakota,Harding County,Rural area,1.30%,1.10%,,
Virginia,Falls Church city,Metro area,1.30%,0.90%,,
Wyoming,Sublette County,Rural area,1.30%,1.20%,,
Idaho,Teton County,Small town,1.10%,0.90%,,
Nebraska,Loup County,Rural area,1.00%,1.70%,,
Texas,Glasscock County,Small town,1.00%,2.00%,,
Wyoming,Johnson County,Rural area,0.90%,1.20%,,
Idaho,Camas County,Small town,0.80%,1.30%,,
North Dakota,Steele County,Rural area,0.60%,1.00%,,
North Dakota,Billings County,Rural area,0.50%,1.30%,,
Montana,Petroleum County,Rural area,0.50%,2.00%,,
Montana,McCone County,Rural area,0.40%,0.70%,,
Nebraska,Hooker County,Rural area,0.00%,3.10%,,
